day,account,site,sitemap_errors,sitemap_warnings
2026-08-09,2012infinite,sc-domain:onlybbguns.co.uk,3,1630
2026-08-09,2012infinite,sc-domain:ownedwork.com,0,0
2026-08-09,2012infinite,sc-domain:readingschoolofmartialarts.co.uk,0,0
2026-08-09,2012infinite,sc-domain:shecookssheeats.co.uk,0,0
2026-08-09,2012infinite,sc-domain:stackswitch.co,0,0
2026-08-09,2012infinite,sc-domain:sunnypatel.co.uk,0,0
2026-08-09,2012infinite,sc-domain:thebestmowers.co.uk,2,9
2026-08-09,2012infinite,sc-domain:theseshbars.com,8,0
2026-08-09,2012infinite,sc-domain:thetutor.link,0,0
2026-08-09,2012infinite,sc-domain:towerfanreviews.uk,0,0
2026-08-10,2012infinite,http://www.laundryhome.co.uk/,0,0
