day,site,clicks,impressions,ctr,position
2026-07-30,sc-domain:text.taxi,0.0,7.0,0.0,50.29
2026-07-30,sc-domain:thebestmowers.co.uk,1.0,2670.0,0.04,56.47
2026-07-30,sc-domain:theseshbars.com,71.0,21270.0,0.33,26.24
2026-07-30,sc-domain:thetutor.link,0.0,1928.0,0.0,75.7
2026-07-30,sc-domain:topsewingmachines.uk,3.0,1085.0,0.28,54.57
2026-07-30,sc-domain:towerfanreviews.uk,18.0,3772.0,0.48,43.0
2026-07-30,sc-domain:towrating.org,2.0,1713.0,0.12,53.03
2026-07-30,sc-domain:tradecost.uk,40.0,18138.0,0.22,49.4
2026-07-30,sc-domain:visible-ads.com,39.0,9205.0,0.42,34.65
2026-07-30,sc-domain:wagearea.com,0.0,21.0,0.0,2.9
2026-07-30,sc-domain:waterhard.uk,2158.0,87728.0,2.46,9.66
2026-07-30,sc-domain:wellifepsychology.com,17.0,2223.0,0.76,4.82
2026-07-30,sc-domain:zoningbase.com,36.0,2317.0,1.55,10.79
